PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
822	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
823	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
824	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
825	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
826	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
827	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
828	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
829	-0.200655	-27.349431	-8.575462	0.000000	0.000000	-216.442990
830	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
831	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
832	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
833	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
834	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
835	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
836	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
837	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
838	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
839	0.227823	1.749966	-6.396930	0.000000	0.000000	-33.622485
840	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
841	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
842	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
843	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
844	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
845	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
846	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
847	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
848	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
849	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
850	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
851	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
852	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
853	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
854	-0.352721	-62.247497	-6.396930	0.000000	0.000000	-33.622485
855	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
856	0.010102	0.791399	-6.684612	0.000000	0.000000	-230.258500
857	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
858	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
859	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
860	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
861	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
862	0.061125	3.040486	-6.684612	0.000000	0.000000	-230.258500
863	0.278085	-1.368929	-6.684612	0.000000	0.000000	-230.258500
864	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
865	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
866	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
867	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
868	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
869	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
870	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
871	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
872	-0.048039	0.902670	-6.551080	0.000000	0.000000	-30.464234
873	-0.009866	2.220034	-6.551080	0.000000	0.000000	-30.464234
874	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
875	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
876	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
877	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
878	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
879	0.051652	1.472666	-6.551080	0.000000	0.000000	-30.464234
880	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
881	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
882	0.040580	3.655637	-6.551080	0.000000	0.000000	-30.464234
883	-0.127380	1.351639	-6.551080	0.000000	0.000000	-30.464234
884	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
885	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
886	0.141447	0.000266	-6.551080	0.000000	0.000000	-30.464234
887	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
888	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
889	-5.298317	-549.023451	-6.551080	0.000000	0.000000	-30.464234
890	-0.081697	-0.162406	-6.551080	0.000000	0.000000	-30.464234
891	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
892	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
893	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
894	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
895	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
896	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
897	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
898	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
899	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
900	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
901	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
902	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
903	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
904	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
905	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
906	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
907	-0.830725	-89.300217	-7.003065	0.000000	-4.605170	-452.606853
