hhno pno day tour half tseg tsvid opurp dpurp oadtyp dadtyp opcl otaz dpcl dtaz mode pathtype dorp deptm arrtm endacttm travtime travcost travdist trexpfac
4000238 1 1 1 1 1 1 0 7 1 4 19559 2521 0 0 3 0 1 1010 1048 1457 -1.000000 -1.000000 -1.000000 47.923095
4000238 1 1 1 2 1 2 7 0 4 1 0 0 19559 2521 3 0 1 1457 1535 1600 -1.000000 -1.000000 -1.000000 47.923095
4000247 1 1 1 1 1 1 0 3 1 4 26546 1190 26910 1199 3 0 1 1435 1455 1520 15.425806 -1.000000 9.004247 160.195860
4000247 1 1 1 2 1 2 3 5 4 4 26910 1199 26523 1196 4 0 1 1520 1535 1610 9.054094 -1.000000 4.023767 160.195860
4000247 1 1 1 2 2 3 5 0 4 1 26523 1196 26546 1190 4 0 1 1610 1625 400 9.346636 -1.000000 5.401206 160.195860
4000247 2 1 1 1 1 1 0 3 1 4 26546 1190 26910 1199 4 0 1 730 745 755 15.425806 -1.000000 9.004247 160.195860
4000247 2 1 1 1 2 2 3 1 4 4 26910 1199 23168 968 3 0 3 755 830 1035 17.034489 -1.000000 6.673408 160.195860
4000247 2 1 1 1 3 3 1 1 4 4 23168 968 23145 966 1 0 3 1035 1045 1145 5.317568 -1.000000 0.147287 160.195860
4000247 2 1 1 1 4 4 1 1 4 4 23145 966 23168 968 1 0 3 1145 1200 1330 5.320625 -1.000000 0.147287 160.195860
4000247 2 1 1 1 5 5 1 1 4 4 23168 968 23168 968 1 0 3 1330 1335 1800 5.210629 -1.000000 0.198859 160.195860
4000247 2 1 1 2 1 6 1 8 4 4 23168 968 23170 969 1 0 3 1800 1815 1940 5.763012 -1.000000 0.355694 160.195860
4000247 2 1 1 2 2 7 8 4 4 4 23170 969 23142 200 3 0 3 1940 1959 2010 6.641274 -1.000000 0.728438 160.195860
4000247 2 1 1 2 3 8 4 0 4 1 23142 200 26546 1190 3 0 1 2010 2045 400 21.085150 -1.000000 14.514269 160.195860
4000247 3 1 1 1 1 1 0 2 1 3 26546 1190 26910 1199 4 0 2 730 745 1520 15.425806 -1.000000 9.004247 160.195860
4000247 3 1 1 2 1 2 2 5 3 4 26910 1199 26523 1196 4 0 2 1520 1535 1610 9.054094 -1.000000 4.023767 160.195860
4000247 3 1 1 2 2 3 5 0 4 1 26523 1196 26546 1190 4 0 2 1610 1625 400 9.346636 -1.000000 5.401206 160.195860
4000250 1 1 1 1 1 1 0 5 1 4 1209 2234 75 2292 3 0 1 1148 1158 1215 6.546759 -1.000000 1.843616 40.422902
4000250 1 1 1 2 1 2 5 0 4 1 75 2292 1209 2234 3 0 1 1215 1220 400 6.672408 -1.000000 1.843616 40.422902
4000250 2 1 1 1 1 1 0 1 1 2 1209 2234 23914 402 3 0 1 900 945 1830 22.485765 -1.000000 10.264198 40.422902
4000250 2 1 1 2 1 2 1 0 2 1 23914 402 1209 2234 3 0 1 1830 1900 400 18.370703 -1.000000 10.264195 40.422902
4000275 1 1 1 1 1 1 0 1 1 2 6517 531 22127 1101 3 0 1 730 800 1630 17.001774 -1.000000 6.950880 87.717786
4000275 1 1 1 2 1 2 1 0 2 1 22127 1101 6517 531 3 0 1 1630 1700 1830 16.728012 -1.000000 6.945417 87.717786
4000275 1 1 2 1 1 3 0 6 1 4 6517 531 23153 197 4 0 1 1830 1845 2000 12.680265 -1.000000 4.111210 87.717786
4000275 1 1 2 2 1 4 6 0 4 1 23153 197 6517 531 4 0 1 2000 2020 400 12.252447 -1.000000 4.115180 87.717786
4000275 2 1 1 1 1 1 0 6 1 4 6517 531 23153 197 4 0 2 1830 1845 2000 12.680265 -1.000000 4.111210 87.717786
4000275 2 1 1 2 1 2 6 0 4 1 23153 197 6517 531 4 0 2 2000 2020 400 12.252447 -1.000000 4.115180 87.717786
4000286 1 1 1 1 1 1 0 8 1 4 3614 2777 4522 366 3 0 1 840 900 1420 23.890011 -1.000000 13.085217 41.020422
4000286 1 1 1 2 1 2 8 5 4 4 4522 366 3546 2678 3 0 1 1420 1500 1510 16.895504 -1.000000 9.476452 41.020422
4000286 1 1 1 2 2 3 5 5 4 4 3546 2678 3549 2678 3 0 1 1510 1512 1535 3.136296 -1.000000 1.213913 41.020422
4000286 1 1 1 2 3 4 5 0 4 1 3549 2678 3614 2777 3 0 1 1535 1550 400 11.698578 -1.000000 5.742061 41.020422
4000310 1 1 1 1 1 1 0 6 1 4 17807 2475 19314 2472 3 0 1 915 928 950 9.652636 -1.000000 3.972986 62.530603
4000310 1 1 1 1 2 2 6 4 4 4 19314 2472 16872 2463 3 0 1 950 955 1050 5.778018 -1.000000 2.317734 62.530603
4000310 1 1 1 2 1 3 4 5 4 4 16872 2463 16872 2463 3 0 1 1050 1053 1130 3.774037 -1.000000 2.165856 62.530603
4000310 1 1 1 2 2 4 5 0 4 1 16872 2463 17807 2475 3 0 1 1130 1140 1255 12.179301 -1.000000 5.306117 62.530603
4000310 1 1 2 1 1 10 0 8 1 4 17807 2475 19882 2526 3 0 1 1705 1720 1840 12.201415 -1.000000 4.402613 62.530603
4000310 1 1 2 2 1 11 8 5 4 4 19882 2526 19950 2528 3 0 1 1840 1843 1940 4.391876 -1.000000 0.670614 62.530603
4000310 1 1 2 2 2 12 5 0 4 1 19950 2528 17807 2475 3 0 1 1940 1956 400 12.795774 -1.000000 4.742954 62.530603
4000310 1 1 3 1 1 5 0 5 1 4 17807 2475 21598 1663 3 0 1 1255 1340 1350 41.617985 -1.000000 22.832987 62.530603
4000310 1 1 3 1 2 6 5 9 4 4 21598 1663 21597 1663 3 0 1 1350 1355 1440 3.823372 -1.000000 0.863599 62.530603
4000310 1 1 3 2 1 7 9 4 4 4 21597 1663 21604 1667 3 0 1 1440 1444 1500 4.250236 -1.000000 0.625118 62.530603
4000310 1 1 3 2 2 8 4 5 4 4 21604 1667 19686 2511 3 0 1 1500 1530 1540 31.856487 -1.000000 17.778851 62.530603
4000310 1 1 3 2 3 9 5 0 4 1 19686 2511 17807 2475 3 0 1 1540 1600 1705 14.016674 -1.000000 5.739834 62.530603
4000391 1 1 1 1 1 1 0 1 1 2 5312 529 27413 971 3 0 3 738 815 1606 13.734336 -1.000000 4.888285 47.062368
4000391 1 1 1 2 1 2 1 0 2 1 27413 971 5312 529 3 0 3 1606 1647 1810 13.186165 -1.000000 4.882823 47.062368
4000391 1 1 2 1 1 3 0 2 1 4 5312 529 23168 968 3 0 1 1810 1825 2001 14.007490 -1.000000 4.577602 47.062368
4000391 1 1 2 2 1 4 2 0 4 1 23168 968 5312 529 3 0 1 2001 2015 400 13.442095 -1.000000 4.570633 47.062368
4000391 2 1 1 1 1 1 0 1 1 2 5312 529 22664 982 3 0 1 925 939 1357 14.362276 -1.000000 5.203238 47.062368
4000391 2 1 1 2 1 2 1 0 2 1 22664 982 5312 529 3 0 1 1357 1404 1455 13.840336 -1.000000 5.196270 47.062368
4000391 2 1 2 1 1 3 0 1 1 2 5312 529 22664 982 3 0 1 1455 1510 1940 14.362276 -1.000000 5.203238 47.062368
4000391 2 1 2 2 1 4 1 0 2 1 22664 982 5312 529 3 0 1 1940 1955 2100 13.840336 -1.000000 5.196270 47.062368
4000391 2 1 3 1 1 5 0 5 1 4 5312 529 24754 520 3 0 1 2100 2105 2125 5.392523 -1.000000 1.293524 47.062368
4000391 2 1 3 2 1 6 5 0 4 1 24754 520 5312 529 3 0 1 2125 2132 400 5.418675 -1.000000 1.293524 47.062368
4000418 1 1 1 1 1 1 0 1 1 2 17240 2483 17229 2423 3 0 1 830 834 1500 6.726276 -1.000000 2.375232 32.136679
4000418 1 1 1 2 1 2 1 5 2 4 17229 2423 17164 2479 3 0 1 1500 1515 1535 5.711357 -1.000000 1.923610 32.136679
4000418 1 1 1 2 2 3 5 0 4 1 17164 2479 17240 2483 3 0 1 1535 1540 1630 5.654668 -1.000000 1.716976 32.136679
4000418 2 1 1 1 1 1 0 1 1 4 17240 2483 19742 2389 3 0 1 1200 1220 1235 12.682908 -1.000000 5.899899 32.136679
4000418 2 1 1 2 1 2 1 7 4 4 19742 2389 10290 1248 3 0 1 1235 1245 1900 16.976242 -1.000000 8.672789 32.136679
4000418 2 1 1 2 2 3 7 0 4 1 10290 1248 17240 2483 3 0 1 1900 1915 400 15.534674 -1.000000 8.294608 32.136679
4000498 2 1 1 1 1 1 0 5 1 4 1134 2264 215 2220 4 0 1 730 740 745 14.900621 -1.000000 7.028935 63.257068
4000498 2 1 1 2 1 2 5 0 4 1 215 2220 1134 2264 3 0 1 745 755 1136 15.055320 -1.000000 7.028935 63.257068
4000498 2 1 2 1 1 3 0 5 1 4 1134 2264 1196 2254 3 0 1 1136 1146 1150 7.984849 -1.000000 2.575356 63.257068
4000498 2 1 2 2 1 4 5 0 4 1 1196 2254 1134 2264 3 0 1 1150 1155 400 7.876426 -1.000000 2.575356 63.257068
4000657 1 1 1 1 1 1 0 4 1 4 23659 776 23689 777 3 0 1 1216 1220 1224 4.832839 -1.000000 0.957196 55.744210
