hhno pno day beghom endhom hbtours wbtours uwtours wktours sctours estours pbtours shtours mltours sotours retours metours wkstops scstops esstops pbstops shstops mlstops sostops restops mestops wkathome pdexpfac
4002828 1 1 1 1 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 -1 65.157681
4002828 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 65.157681
4002828 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 65.157681
4002881 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 412.816646
4002908 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 -1 180.885242
4002908 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 180.885242
4002909 1 1 1 1 2 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 -1 55.949159
4002918 1 1 1 1 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 -1 379.995433
4002918 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 379.995433
4003003 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 106.123153
4003003 2 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 106.123153
4003003 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 106.123153
4003026 1 1 1 1 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 -1 68.09255
4003026 2 1 1 1 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 -1 68.09255
4003029 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 -1 109.20665
4003029 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 109.20665
4003029 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 2 -1 109.20665
4003081 1 1 1 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 52.339691
4003081 2 1 1 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 52.339691
4003132 1 1 1 1 3 0 0 0 0 2 1 0 0 0 0 0 0 0 1 2 1 1 0 1 1 -1 137.052019
4003132 2 1 1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 -1 137.052019
4003156 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 -1 950.354145
4003229 1 1 1 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 -1 41.833007
4003336 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 115.706951
4003336 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 115.706951
4003356 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 -1 95.072171
4003402 1 1 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 8 1 0 1 0 1 -1 110.719844
4003402 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 7 1 1 0 0 0 -1 110.719844
4003402 3 1 1 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 8 1 0 0 0 0 -1 110.719844
4003493 1 1 1 1 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 32.136679
4003493 2 1 1 1 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 32.136679
